inn,kpp,status,kbk,oktmo,f42,f43,f44,f45,f46
0105057340,010501001,08,81711302062020000130,79701000,0,0,0,0,0
0274136934,027401001,08,80111302062020000130,80701000,0,0,0,0,0
0274136934,027401001,08,81111302062020000130,80701000,0,0,0,0,0
0326476596,032601001,08,82011302062020000130,81701000,0,0,0,0,0
0411007524,041101001,08,91811302062020000130,84701000,0,0,0,0,0
0411171683,041101001,08,91711302062020000130,84701000,0,0,0,0,0
0562043732,057101001,08,59211302992020000130,82701000,0,0,0,0,0
0608014060,060801001,08,90101041110010020244,26701000,0,0,0,0,0
0608014060,060801001,08,90101041110010020247,26701000,0,0,0,0,0
0608014060,060801001,08,90101041110010020853,26701000,0,0,0,0,0
0608014060,060801001,08,90105030410160010247,26701000,0,0,0,0,0
0721021159,072501001,08,90311302062020000130,83701000,0,0,0,0,0
0814158396,081601001,08,60411302062020000130,85701000,0,0,0,0,0
0917016682,091701001,08,00000000000000000130,91701000,0,0,0,0,0
1215033671,121501001,08,00000000000000000130,88701000,0,0,0,0,0
1215055996,121501001,08,00000000000000000130,88701000,0,0,0,0,0
1326233531,132601001,08,80211302992020002130,69701000,0,0,0,0,0
1326233531,132601001,08,80211302992020002130,89701000,0,0,0,0,0
1435030637,143501001,08,07500000000000000135,98701000,0,0,0,0,0
1503014227,151301001,08,00000000000000000130,90701000,0,0,0,0,0
1513034663,151301001,08,18011301081017000130,90701000,0,0,0,0,0
1655228921,165501001,08,72001130000000000130,92701000,0,0,0,0,0
1655248519,165843001,08,18011301081017000130,92701000,0,0,0,0,0
1701038364,170101001,08,00000000000000000130,93701000,0,0,0,0,0
1831082981,183101001,08,00001130000000000130,94701000,0,0,0,0,0
1900010109,190001001,08,00000000000000000130,95701000,0,0,0,0,0
2130082939,213001001,08,41711302061016000130,97701000,0,0,0,0,0
2225156794,222501001,08,00000000000000000120,1701000,0,0,0,0,0
2225156794,222501001,08,00000000000000000130,1701000,0,0,0,0,0
2308053552,231001001,08,80211302062020000130,3701000,0,0,0,0,0
2308103443,230801001,08,90211301994040021130,3701000,0,0,0,0,0
2308103443,230801001,08,90211302064040011130,3701000,0,0,0,0,0
2466073907,246601001,08,00611302062020000130,4701000,0,0,0,0,0
2536014538,254001001,08,07501130000000000130,5701000,0,0,0,0,0
2536014538,254001001,08,07507060000000000130,5701000,0,0,0,0,0
2538008586,253801001,08,00000000000000000130,5701000,0,0,0,0,0
2540113732,770801001,08,0,45378000,0,0,0,0,0
2540183923,254001001,08,18011301081017000130,5701000,0,0,0,0,0
2627025329,262701001,08,17711301991010300130,7712000,0,0,0,0,0
2634044146,263401001,08,00211302062022000130,7701000,0,0,0,0,0
2636804385,263601001,08,18011301081017000130,7701000,0,0,0,0,0
2721001815,272101001,08,00111301992020000130,8701000,0,0,0,0,0
2801128045,280101001,08,00000000000000000130,10701000,0,0,0,0,0
2801128045,280101001,08,00000000000000000130,10707000,0,0,0,0,0
3015064468,301501001,08,00211302992020011130,12701000,0,0,0,0,0
3123107084,312301001,08,80211302062020000130,14701000,0,0,0,0,0
3250524147,325701001,08,00000000000000000130,15701000,0,0,0,0,0
3328102714,332901001,08,00000000000000000130,17701000,0,0,0,0,0
3444049613,344401001,08,81208010000000000130,18701000,0,0,0,0,0
3666088317,366601001,08,00000000000000000130,20701000,0,0,0,0,0
3702679220,370201001,08,18011301081017000130,24701000,0,0,0,0,0
3728013339,370201001,08,00211302062020046130,24701000,0,0,0,0,0
3808273406,380801001,08,81711302062020000130,25701000,0,0,0,0,0
4205119484,420501001,08,85111302062020000130,32701000,0,0,0,0,0
4345217837,434501001,08,83611302062020000130,33701000,0,0,0,0,0
4443025435,440101001,08,05800000000000000130,34701000,0,0,0,0,0
